price_eur,barrio,distrito,lat,lon,listing_type,energy_consumption_rating,energy_emissions_rating,adaptado a personas con movilidad reducida,aire acondicionado,amueblado,antigüedad,ascensor,balcón,baños,calefacción,chimenea,cocina equipada,conservación,exterior,garaje,habitaciones,jardín,piscina,planta,portero automático,puerta blindada,referencia,sistema de seguridad,superficie construida,superficie útil,terraza,trastero,vidrios dobles,tipo_inmueble
10000.0,Castellana,Salamanca,40.4342811,-3.6862864,rental,False,False,0.0,True,No,,False,False,5,True,False,True,A estrenar,False,True,4.0,False,False,6.0,False,False,6013,False,272.0,272.0,False,False,False,Otro
1450.0,Río Rosas,Chamberí,40.4386119,-3.6999008,rental,False,False,0.0,False,Si,,False,False,1,True,False,True,En buen estado,False,False,1.0,False,False,6.0,False,False,3893,False,74.0,74.0,False,False,False,Piso
2200.0,Castellana,Salamanca,40.4352372,-3.6835148,rental,False,False,0.0,False,Si,,False,False,1,False,False,False,En buen estado,False,False,3.0,False,False,2.0,False,False,4411,False,101.0,100.0,False,False,False,Piso
1700.0,Fuente del Berro,Salamanca,40.4290471,-3.6664739,rental,False,False,0.0,False,Si,Más de 50 años,False,False,1,True,False,Independiente,En buen estado,False,False,3.0,False,False,6.0,Conserje,True,20815,False,65.0,50.0,False,False,False,Piso
2650.0,Justicia-Chueca,Centro,40.4226065,-3.6991962,rental,D,D,0.0,False,Si,Más de 50 años,False,1.0,2,False,False,False,En buen estado,False,False,2.0,False,False,5.0,False,False,9635001141/9635,False,83.0,77.0,False,False,False,Piso
1500.0,Aravaca,Moncloa-Aravaca,40.4446662,-3.7879384,rental,False,False,0.0,False,No,,False,False,1,True,False,False,En buen estado,False,False,2.0,False,True,2.0,False,False,Pza_2dvac,False,90.0,90.0,False,False,False,Otro
1100.0,Rejas,San Blas,40.4430413,-3.5754374,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,0.0,False,True,2209/48,True,81.0,62.0,False,False,False,Otro
980.0,Justicia-Chueca,Centro,40.425045,-3.6990557,rental,False,False,0.0,False,Si,Más de 50 años,False,False,1,True,False,Equipada,A estrenar,False,False,1.0,False,False,0.0,False,True,EAT: 3062,False,28.0,28.0,False,False,False,Otro
1000.0,Berruguete,Tetuán,40.4621,-3.70241,rental,False,False,0.0,False,Si,,False,False,1,False,False,True,En buen estado,False,True,1.0,False,False,1.0,False,False,107802859,False,50.0,49.0,False,False,False,Piso
2000.0,Simancas,San Blas,40.4354744,-3.6207605,rental,False,False,0.0,True,No,Entre 20 y 30 años,False,False,2,True,False,False,En buen estado,False,True,2.0,False,False,0.0,False,True,RP322025138186,False,117.0,100.0,False,False,False,Piso
2600.0,Ibiza,Retiro,40.4180798,-3.6758138,rental,False,False,0.0,True,No,,False,False,2,True,False,False,En buen estado,True,False,3.0,False,False,1.0,False,False,263503,False,102.0,94.0,False,False,False,Piso
1500.0,Justicia-Chueca,Centro,40.42541,-3.6997473,rental,False,False,0.0,True,No,Entre 30 y 50 años,False,False,1,True,False,True,En buen estado,False,False,2.0,False,False,4.0,False,False,000007,False,65.0,60.0,False,False,False,Piso
3950.0,Mirasierra-Arroyo del Fresno,Fuencarral-El Pardo,40.4873347,-3.7237234,rental,False,False,0.0,True,Semi,Entre 20 y 30 años,False,False,4,True,1.0,True,Reformado,False,True,6.0,True,True,0.0,False,True,ALQUILER CHALE PLAZA VALLE DE LA JAROSA,False,286.0,285.0,False,False,False,Casa
1600.0,Lista,Salamanca,40.4288104,-3.6736545,rental,False,False,0.0,True,Si,Más de 50 años,False,False,1,True,False,True,En buen estado,False,False,2.0,False,False,1.0,True,True,Alcántara,True,53.0,50.0,False,False,False,Piso
3500.0,Recoletos,Salamanca,40.4220388,-3.6886433,rental,E,D,0.0,False,Si,Más de 50 años,False,False,2,True,False,True,En buen estado,False,False,2.0,False,False,0.0,False,False,4,False,93.0,93.0,False,False,False,Piso
9000.0,Recoletos,Salamanca,40.427960162,-3.689260731,rental,False,False,0.0,True,No,,False,False,5,True,1.0,True,A estrenar,False,False,10.0,False,False,6.0,False,False,1,False,300.0,280.0,False,False,False,Otro
2700.0,Castellana,Salamanca,40.4370037,-3.6828982,rental,False,False,1.0,True,No,Más de 50 años,False,False,2,True,False,Independiente,En buen estado,False,False,3.0,False,False,5.0,True,True,426508,True,115.0,109.0,False,False,False,Piso
1000.0,Buenavista,Carabanchel,40.3757812,-3.7531432,rental,False,False,0.0,True,No,Entre 5 y 10 años,False,False,1,True,False,False,En buen estado,False,False,1.0,False,False,3.0,False,True,000032,False,60.0,50.0,True,False,False,Otro
1100.0,Puerta del Ángel,Latina,40.4083562,-3.7346193,rental,False,False,0.0,False,No,,False,False,1,True,False,False,En buen estado,False,False,2.0,False,False,0.0,False,False,RP1212025137959,False,61.0,53.0,False,False,False,Piso
1695.0,Pinar del Rey,Hortaleza,40.4708981,-3.6354396,rental,E,E,0.0,False,No,Entre 30 y 50 años,False,False,2,True,False,True,En buen estado,False,True,3.0,False,False,6.0,False,True,250327-07,False,131.0,131.0,False,False,False,Casa
1600.0,Justicia-Chueca,Centro,40.4243533,-3.6967221,rental,False,False,0.0,False,Si,,False,False,1,True,False,True,En buen estado,False,False,2.0,False,False,1.0,False,False,ofi325,False,75.0,75.0,False,False,False,Piso
2495.0,El Viso,Chamartín,40.4483,-3.67819,rental,C,C,0.0,False,No,Entre 30 y 50 años,False,False,2,True,False,True,En buen estado,False,False,3.0,False,False,2.0,False,False,19,False,122.0,122.0,False,False,False,Piso
