price_eur_pm,barrio_encoded,distrito,latitude,longitude,adaptado_movilidad_reducida,aire_acondicionado,antiguedad,armarios_empotrados,ascensor,balcon,banos,calefaccion,chimenea,cocina_equipada,conservacion,exterior,garaje,habitaciones,jardin,piscina,puerta_blindada,sistema_seguridad,superficie_construida,terraza,trastero,vidrios_dobles,planta_numerica,acepta_mascotas,amueblado_True,amueblado_nan,cluster,cluster_label
10000.0,3843.846153846154,Salamanca,40.4342811,-3.6862864,0.0,1.0,2.602619110572803,0.0,1.0,0.0,5.0,1.0,0.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,272.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,4,Apartamento Premium (Ubicación Prime)
1450.0,2586.9166666666665,Chamberí,40.4386119,-3.6999008,0.0,0.0,0.7554907302254312,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,74.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
2200.0,3843.846153846154,Salamanca,40.4352372,-3.6835148,0.0,0.0,-0.21863228464598294,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1700.0,1932.2,Salamanca,40.4290471,-3.6664739,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,65.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
2650.0,3353.04,Centro,40.4226065,-3.6991962,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.2221940258895438,0.0,0.0,2.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1500.0,3775.5555555555557,Moncloa-Aravaca,40.4446662,-3.7879384,0.0,0.0,1.4029792039831603,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0446521382966352,0.0,0.0,2.0,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
1100.0,1212.5,San Blas,40.4430413,-3.5754374,0.0,0.0,3.452322044624328,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,81.0,0.0,1.0,0.0,1.375282581977165,0.0,0.0,1.0,4,Apartamento Premium (Ubicación Prime)
980.0,3353.04,Centro,40.425045,-3.6990557,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.392883120286443,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1000.0,1299.1666666666667,Tetuán,40.4621,-3.70241,0.0,1.0,2.264007315752307,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
2000.0,1633.2222222222222,San Blas,40.4354744,-3.6207605,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,117.0,1.0,0.0,0.0,4.420900694641987,0.0,0.0,1.0,4,Apartamento Premium (Ubicación Prime)
2600.0,2985.909090909091,Retiro,40.4180798,-3.6758138,0.0,1.0,0.23961672013616497,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.1831711994300576,1.0,0.0,3.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
